004082B3 // add x5,x1,x4             ; x5 = 5
00121933 // sll x18,x4,x1            ; x18 = 8
00A659B3 // srl x19,x12,x10          ; x19 = 0
40315A33 // sra x20,x2,x3            ; x20 = 0
00D4AAB3 // slt x21,x9,x13           ; x21 = 1
00783B33 // sltu x22,x16,x7          ; x22 = 0
00538B93 // addi x23,x7,5            ; x23 = 12
0076FC13 // andi x24,x13,7           ; x24 = 5
0081EC93 // ori x25,x3,8             ; x25 = 11
00C54D13 // xori x26,x10,12          ; x26 = 6
00109D93 // slli x27,x1,1            ; x27 = 2
00245E13 // srli x28,x8,2            ; x28 = 2
4037DE93 // srai x29,x15,3           ; x29 = 1
001202B3 // add x5,x4,x1             ; x5 = 5
40A60333 // sub x6,x12,x10           ; x6 = 2
003175B3 // and x11,x2,x3            ; x11 = 2
00D4E733 // or x14,x9,x13            ; x14 = 13
007848B3 // xor x17,x16,x7           ; x17 = 23
01039933 // sll x18,x7,x16           ; x18 = 458752
0096D9B3 // srl x19,x13,x9           ; x19 = 0
4021DA33 // sra x20,x3,x2            ; x20 = 0
00C52AB3 // slt x21,x10,x12          ; x21 = 1
0040BB33 // sltu x22,x1,x4           ; x22 = 1
00240B93 // addi x23,x8,2            ; x23 = 10
0037FC13 // andi x24,x15,3           ; x24 = 3
00426C93 // ori x25,x4,4             ; x25 = 4
00564D13 // xori x26,x12,5           ; x26 = 9
00211D93 // slli x27,x2,2            ; x27 = 8
0034DE13 // srli x28,x9,3            ; x28 = 1
40485E93 // srai x29,x16,4           ; x29 = 1
010382B3 // add x5,x7,x16            ; x5 = 23
40968333 // sub x6,x13,x9            ; x6 = 4
0021F5B3 // and x11,x3,x2            ; x11 = 2
00C56733 // or x14,x10,x12           ; x14 = 14
0040C8B3 // xor x17,x1,x4            ; x17 = 5
00F41933 // sll x18,x8,x15           ; x18 = 262144
0087D9B3 // srl x19,x15,x8           ; x19 = 0
40125A33 // sra x20,x4,x1            ; x20 = 2
00A62AB3 // slt x21,x12,x10          ; x21 = 0
00313B33 // sltu x22,x2,x3           ; x22 = 1
00F48B93 // addi x23,x9,15           ; x23 = 24
01F87C13 // andi x24,x16,31          ; x24 = 16
0013EC93 // ori x25,x7,1             ; x25 = 7
0026CD13 // xori x26,x13,2           ; x26 = 15
00319D93 // slli x27,x3,3            ; x27 = 24
00455E13 // srli x28,x10,4           ; x28 = 0
4010DE93 // srai x29,x1,1            ; x29 = 0
00F402B3 // add x5,x8,x15            ; x5 = 23
40878333 // sub x6,x15,x8            ; x6 = 7
001275B3 // and x11,x4,x1            ; x11 = 0
00A66733 // or x14,x12,x10           ; x14 = 14
003148B3 // xor x17,x2,x3            ; x17 = 1
00D49933 // sll x18,x9,x13           ; x18 = 73728
007859B3 // srl x19,x16,x7           ; x19 = 0
4103DA33 // sra x20,x7,x16           ; x20 = 0
0096AAB3 // slt x21,x13,x9           ; x21 = 0
0021BB33 // sltu x22,x3,x2           ; x22 = 0
00750B93 // addi x23,x10,7           ; x23 = 17
0080FC13 // andi x24,x1,8            ; x24 = 0
00C46C93 // ori x25,x8,12            ; x25 = 12
00F7CD13 // xori x26,x15,15          ; x26 = 0
00421D93 // slli x27,x4,4            ; x27 = 64
00165E13 // srli x28,x12,1           ; x28 = 6
40215E93 // srai x29,x2,2            ; x29 = 0
00D482B3 // add x5,x9,x13            ; x5 = 22
40780333 // sub x6,x16,x7            ; x6 = 9
0103F5B3 // and x11,x7,x16           ; x11 = 0
0096E733 // or x14,x13,x9            ; x14 = 13
0021C8B3 // xor x17,x3,x2            ; x17 = 1
00C51933 // sll x18,x10,x12          ; x18 = 40960
0040D9B3 // srl x19,x1,x4            ; x19 = 0
40F45A33 // sra x20,x8,x15           ; x20 = 0
0087AAB3 // slt x21,x15,x8           ; x21 = 0
00123B33 // sltu x22,x4,x1           ; x22 = 0
00360B93 // addi x23,x12,3           ; x23 = 15
00417C13 // andi x24,x2,4            ; x24 = 0
0054EC93 // ori x25,x9,5             ; x25 = 13
00784D13 // xori x26,x16,7           ; x26 = 23
00139D93 // slli x27,x7,1            ; x27 = 14
0026DE13 // srli x28,x13,2           ; x28 = 3
4031DE93 // srai x29,x3,3            ; x29 = 0
00C502B3 // add x5,x10,x12           ; x5 = 22
40408333 // sub x6,x1,x4             ; x6 = 4294967293
00F475B3 // and x11,x8,x15           ; x11 = 8
0087E733 // or x14,x15,x8            ; x14 = 15
001248B3 // xor x17,x4,x1            ; x17 = 5
00A61933 // sll x18,x12,x10          ; x18 = 12288
003159B3 // srl x19,x2,x3            ; x19 = 0
40D4DA33 // sra x20,x9,x13           ; x20 = 0
00782AB3 // slt x21,x16,x7           ; x21 = 0
0103BB33 // sltu x22,x7,x16          ; x22 = 1
01F68B93 // addi x23,x13,31          ; x23 = 44
0011FC13 // andi x24,x3,1            ; x24 = 1
00256C93 // ori x25,x10,2            ; x25 = 10
0030CD13 // xori x26,x1,3            ; x26 = 2
00241D93 // slli x27,x8,2            ; x27 = 32
0037DE13 // srli x28,x15,3           ; x28 = 1
40425E93 // srai x29,x4,4            ; x29 = 0
022082B3 // mul x5,x1,x2             ; x5 = 2
02418333 // mul x6,x3,x4             ; x6 = 12
028385B3 // mul x11,x7,x8            ; x11 = 56
02A48733 // mul x14,x9,x10           ; x14 = 90
023658B3 // divu x17,x12,x3          ; x17 = 4
02285933 // divu x18,x16,x2          ; x18 = 8
00102023 // sw x1,0(x0)              ; mem[0] = x1
00202223 // sw x2,4(x0)              ; mem[4] = x2
00302423 // sw x3,8(x0)              ; mem[8] = x3
00402623 // sw x4,12(x0)             ; mem[12] = x4
00702823 // sw x7,16(x0)             ; mem[16] = x7
00802A23 // sw x8,20(x0)             ; mem[20] = x8
00902C23 // sw x9,24(x0)             ; mem[24] = x9
00002983 // lw x19,0(x0)             ; x19 = mem[0]
00402A03 // lw x20,4(x0)             ; x20 = mem[4]
00802A83 // lw x21,8(x0)             ; x21 = mem[8]
00C02B03 // lw x22,12(x0)            ; x22 = mem[12]
01002B83 // lw x23,16(x0)            ; x23 = mem[16]
01402C03 // lw x24,20(x0)            ; x24 = mem[20]
01802C83 // lw x25,24(x0)            ; x25 = mem[24]
